order_item_id,order_id,product_name
900285,58216,Arctic Acai Chill
900301,59636,Arctic Acai Chill
900322,50407,Arctic Acai Chill
900426,59177,Arctic Acai Chill
900459,57843,Arctic Acai Chill
900578,57515,Arctic Acai Chill
900750,51588,Arctic Acai Chill
900971,59228,Arctic Acai Chill
901179,52652,Arctic Acai Chill
901243,53972,Arctic Acai Chill
901245,56865,Arctic Acai Chill
901351,52914,Arctic Acai Chill
901358,55796,Arctic Acai Chill
901413,52184,Arctic Acai Chill
901567,51956,Arctic Acai Chill
901592,50924,Arctic Acai Chill
901850,50268,Arctic Acai Chill
901854,58148,Arctic Acai Chill
901947,55306,Arctic Acai Chill
901996,52689,Arctic Acai Chill
902062,51067,Arctic Acai Chill
902262,56122,Arctic Acai Chill
902276,54544,Arctic Acai Chill
902317,54024,Arctic Acai Chill
902325,59022,Arctic Acai Chill
902492,54947,Arctic Acai Chill
902619,52784,Arctic Acai Chill
902658,52564,Arctic Acai Chill
902691,58697,Arctic Acai Chill
902714,53915,Arctic Acai Chill
903206,52001,Arctic Acai Chill
903243,53501,Arctic Acai Chill
903253,53790,Arctic Acai Chill
903274,58067,Arctic Acai Chill
903404,59836,Arctic Acai Chill
903476,52307,Arctic Acai Chill
903604,59725,Arctic Acai Chill
903769,51675,Arctic Acai Chill
903801,52647,Arctic Acai Chill
903825,55968,Arctic Acai Chill
903840,58765,Arctic Acai Chill
904013,57167,Arctic Acai Chill
904220,53026,Arctic Acai Chill
904225,59531,Arctic Acai Chill
904247,59097,Arctic Acai Chill
904289,51776,Arctic Acai Chill
904437,50492,Arctic Acai Chill
904665,50821,Arctic Acai Chill
904720,50159,Arctic Acai Chill
904745,50314,Arctic Acai Chill
904770,52130,Arctic Acai Chill
904792,56291,Arctic Acai Chill
904805,52744,Arctic Acai Chill
904916,56342,Arctic Acai Chill
904930,58390,Arctic Acai Chill
904936,57069,Arctic Acai Chill
904995,54437,Arctic Acai Chill
905013,56247,Arctic Acai Chill
905307,51987,Arctic Acai Chill
905357,59746,Arctic Acai Chill
905368,55361,Arctic Acai Chill
905408,56916,Arctic Acai Chill
905535,52976,Arctic Acai Chill
905647,58912,Arctic Acai Chill
905660,57390,Arctic Acai Chill
905767,58433,Arctic Acai Chill
905826,50708,Arctic Acai Chill
905863,54081,Arctic Acai Chill
905944,59707,Arctic Acai Chill
905947,53439,Arctic Acai Chill
906078,54032,Arctic Acai Chill
906159,52092,Arctic Acai Chill
906212,53873,Arctic Acai Chill
906311,53303,Arctic Acai Chill
906406,52445,Arctic Acai Chill
906474,53002,Arctic Acai Chill
906476,58345,Arctic Acai Chill
906622,54252,Arctic Acai Chill
906896,54035,Arctic Acai Chill
906909,59804,Arctic Acai Chill
907010,59594,Arctic Acai Chill
907031,56840,Arctic Acai Chill
907064,52126,Arctic Acai Chill
907134,51497,Arctic Acai Chill
907151,50839,Arctic Acai Chill
907185,50443,Arctic Acai Chill
907225,56670,Arctic Acai Chill
907539,51916,Arctic Acai Chill
907555,56268,Arctic Acai Chill
907565,52483,Arctic Acai Chill
907642,50680,Arctic Acai Chill
907670,53058,Arctic Acai Chill
907693,55409,Arctic Acai Chill
907777,52684,Arctic Acai Chill
907823,50553,Arctic Acai Chill
907930,53298,Arctic Acai Chill
908047,58519,Arctic Acai Chill
908517,51663,Arctic Acai Chill
908536,54677,Arctic Acai Chill
908539,57242,Arctic Acai Chill
908551,53526,Arctic Acai Chill
908843,54040,Arctic Acai Chill
908868,57128,Arctic Acai Chill
908885,50081,Arctic Acai Chill
908954,51865,Arctic Acai Chill
909005,57011,Arctic Acai Chill
909114,54780,Arctic Acai Chill
909277,51134,Arctic Acai Chill
909308,55085,Arctic Acai Chill
909317,58947,Arctic Acai Chill
909358,56840,Arctic Acai Chill
909441,55775,Arctic Acai Chill
909464,58309,Arctic Acai Chill
909516,57113,Arctic Acai Chill
909619,57242,Arctic Acai Chill
909913,50877,Arctic Acai Chill
909957,58880,Arctic Acai Chill
910126,55516,Arctic Acai Chill
910254,56104,Arctic Acai Chill
910645,53378,Arctic Acai Chill
910666,56074,Arctic Acai Chill
910737,51560,Arctic Acai Chill
910794,51603,Arctic Acai Chill
